Nazwisko,Liczba wystąpień
MAŃKA,4031
LORENC,4030
ŚWIDER,4023
WIŚNIOWSKA,4023
KRÓLAK,4013
ROSZKOWSKA,4005
SIWIEC,4005
DUSZYŃSKA,3999
JÓŹWIK,3986
KARCZ,3986
SZOT,3983
SZAREK,3981
WRZESIŃSKA,3977
LISZKA,3974
POLAŃSKA,3974
JEZIORSKA,3971
PAPROCKA,3971
ROŻEK,3956
SCHMIDT,3955
KWIATEK,3944
BOBROWSKA,3931
BOGACZ,3930
ADAMIEC,3925
KORZENIEWSKA,3923
ŻUCHOWSKA,3916
JAKUBCZYK,3912
NOWIŃSKA,3905
WOŹNA,3902
GRABARCZYK,3900
TUROWSKA,3900
FILIP,3899
KOSMALA,3899
KRASZEWSKA,3899
SIDOR,3899
BURY,3892
KNAP,3892
KORCZAK,3882
RUSEK,3877
DROŻDŻ,3870
WOJDA,3870
PASZKIEWICZ,3867
KRUSZYŃSKA,3866
MIELCAREK,3855
GRODZKA,3847
GACEK,3845
TKACZ,3845
WACH,3838
RZEPECKA,3832
BOGDAŃSKA,3827
LANGE,3824
KUSIAK,3820
GRZYBEK,3815
GOLA,3806
ŚPIEWAK,3802
KUKLA,3800
LEWIŃSKA,3800
KOZAKIEWICZ,3792
MAŁKOWSKA,3792
ROGOZIŃSKA,3790
SZOPA,3788
KĘDZIOR,3784
SZELIGA,3784
JAKUBIEC,3769
BORYS,3766
OLECH,3760
ROMAŃSKA,3756
WAGNER,3756
ŚLEDŹ,3754
JANCZAK,3752
TOKARCZYK,3740
WOJTOWICZ,3738
PERKOWSKA,3736
DYMEK,3732
GĄSIOREK,3730
BILIŃSKA,3729
RYBKA,3728
SZKUDLAREK,3728
KAPUŚCIŃSKA,3725
LIPIEC,3722
GŁADYSZ,3718
SZYMANEK,3718
SKONIECZNA,3717
FLAK,3716
DUTKIEWICZ,3713
WASIELEWSKA,3713
RACZKOWSKA,3710
KURZAWA,3706
STASZAK,3705
RADZISZEWSKA,3700
BARTOSZEK,3696
AMBROZIAK,3694
SZCZUREK,3691
MAZIARZ,3688
POTOCKA,3684
ADAMCZEWSKA,3678
KONARSKA,3675
PISAREK,3675
WYRZYKOWSKA,3673
RESZKA,3671
PUCHAŁA,3669
MAJKOWSKA,3665
KAŹMIERSKA,3658
SMOLEŃ,3656
BUGAJSKA,3655
DZIKOWSKA,3652
SUCHECKA,3652
KAROLAK,3650
WAJDA,3650
KOKOT,3648
PIECH,3647
CZARNOTA,3632
KUPIEC,3629
WRZOSEK,3629
ROKICKA,3627
KULPA,3621
FIGURA,3620
PĘKALA,3620
KALIŃSKA,3611
PLICHTA,3603
BIAŁECKA,3600
DZIURA,3598
BANASZAK,3597
JASKULSKA,3595
KAWALEC,3595
KĘPKA,3594
STOKŁOSA,3592
KOCHAŃSKA,3590
OLSZAK,3587
SZYMANOWSKA,3583
KOKOSZKA,3576
DOLATA,3575
PIERZCHAŁA,3574
PIECHOCKA,3573
SOLECKA,3570
RODAK,3564
FERENC,3559
GOLIŃSKA,3552
BUGAJ,3543
BALICKA,3530
PARADOWSKA,3528
PASEK,3525
MĄCZKA,3522
BRZESKA,3521
ZBOROWSKA,3520
PŁATEK,3517
KRAUZE,3513
KOLASIŃSKA,3512
SUŁKOWSKA,3511
WASZKIEWICZ,3510
BIAŁA,3507
BOJARSKA,3502
WOJTASZEK,3500
DOLIŃSKA,3498
BRODOWSKA,3495
BARSZCZ,3491
SZCZYGIELSKA,3490
OSOWSKA,3487
JAROSZEWSKA,3486
GÓRALCZYK,3482
STĘPNIEWSKA,3471
GABRYŚ,3470
BIELA,3468
CHROBAK,3460
LASEK,3457
WIELGUS,3456
KEMPA,3450
WEBER,3448
ŚWIERCZEK,3446
ROMANIUK,3445
SZYMANIAK,3443
CICHOSZ,3442
PISZCZEK,3442
FIGIEL,3436
MORAWIEC,3436
WALCZYK,3436
SZADKOWSKA,3428
SMOLAREK,3426
KOSTKA,3422
PISKORZ,3421
KOPROWSKA,3419
MACH,3418
ZARĘBSKA,3418
ZIMNA,3418
ŁAWNICZAK,3417
LACHOWICZ,3412
TRACZYK,3411
CIOŁEK,3406
GARBACZ,3405
WÓJCIAK,3405
OSUCH,3403
ĆWIKLIŃSKA,3402
LOREK,3399
ORZEŁ,3397
BROŻEK,3391
PASZEK,3391
SZPAK,3382
WDOWIAK,3381
SUROWIEC,3380
BARON,3377
GOŁĄBEK,3377
SUDOŁ,3377
ŁOŚ,3376
KOZERA,3370
PIĘTA,3369
BATOR,3364
ANTONIAK,3363
MROWIEC,3362
BERNAT,3360
MULARCZYK,3357
GRELA,3356
GRUCA,3356
KOŁODZIEJCZAK,3356
MYŚLIWIEC,3354
GRABSKA,3353
STACHOWSKA,3351
JAMRÓZ,3349
OŻÓG,3348
GLIŃSKA,3346
ZAPAŁA,3346
BUREK,3343
MODRZEJEWSKA,3340
BŁAŻEJEWSKA,3339
WACHOWIAK,3339
DOBRZAŃSKA,3335
SALA,3335
BURDA,3334
GALIŃSKA,3331
PÓŁTORAK,3328
ZAWISZA,3326
WĄSOWSKA,3325
FILIPCZAK,3321
NADOLSKA,3319
CZAPLIŃSKA,3317
ŚWITAŁA,3315
MATUSIK,3314
GAŁECKA,3313
FRANCZAK,3312
KOCHANOWSKA,3312
OLEŚ,3307
WINNICKA,3307
NIEZGODA,3303
ZASADA,3303
JEDYNAK,3301
KULIKOWSKA,3293
